,restaurant_id,restaurant_name,country_code,city,address,locality,locality_verbose,cuisines,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,votes,average_cost_for_two,rating,menu_category,item_name,menu_price,price_range_cat
0,94286,ab's - absolute barbecues,1,hyderabad,plot 483| 4th floor| pemmasani complex| bajaj electronics building| near madhapur police station| road 36| jubilee hills| hyderabad,jubilee hills,jubilee hills| hyderabad,european| mediterranean| north indian,indian rupees(rs.),False,False,False,False,3,5434,1500,4.9,match day combo,ab's single meal (non veg),399.0,3
1,18452864,ab's - absolute barbecues,1,hyderabad,no. 8-2-618/10-11|2nd floor| krishe amethyst| road no.1| banjara hills| hyderabad,banjara hills,banjara hills| hyderabad,european| mediterranean| north indian,indian rupees(rs.),False,False,False,False,3,200,1500,4.9,match day combo,ab's single meal (non veg),399.0,3
2,18384227,ab's - absolute barbecues,1,chennai,velachery tharamani link road| opposite tcs| velachery| chennai,velachery,velachery| chennai,north indian| european| mediterranean,indian rupees(rs.),False,False,False,False,3,859,1600,4.9,match day combo,ab's single meal (non veg),399.0,3
3,56618,ab's - absolute barbecues,1,bangalore,90/4| 3rd floor| outer ring road| munnekollaly village| marathahalli| bangalore,marathahalli,marathahalli| bangalore,european| mediterranean| north indian,indian rupees(rs.),False,False,False,False,3,6907,1400,4.6,match day combo,ab's single meal (non veg),399.0,3
292,90744,exotica,1,hyderabad,opposite audi showroom| 5th floor| 12th square building| road 12| banjara hills| hyderabad,12th square building| banjara hills,12th square building| banjara hills| hyderabad,mughlai| north indian| chinese,indian rupees(rs.),True,True,False,False,3,3374,1500,4.3,soups,chicken tom kha soup,309.0,3
295,2800856,barbeque nation,1,vizag,1st floor| atr towers| harbour park road|  panduranga puram| near harbour park| kirlampudi layout| vizag,kirlampudi layout,kirlampudi layout| vizag,north indian| chinese| mediterranean,indian rupees(rs.),False,False,False,False,4,345,1600,4.9,today's exclusive dishes,barbeque in a box (veg) premium,1049.0,4
296,3200012,barbeque nation,1,vadodara,3rd floor| shreem shalini mall| r.c. dutt road| alkapuri| vadodara,alkapuri,alkapuri| vadodara,mughlai| north indian,indian rupees(rs.),False,False,False,False,4,332,1500,4.3,today's exclusive dishes,barbeque in a box (veg) premium,1049.0,4
297,11807,barbeque nation,1,pune,3rd floor| r deccan mall| near deccan gymkhana| jm road| pune,r deccan mall| jm road,r deccan mall| jm road| pune,north indian| mughlai,indian rupees(rs.),False,False,False,False,3,2847,1700,4.5,today's exclusive dishes,barbeque in a box (veg) premium,1049.0,3
298,303371,barbeque nation,1,noida,a-79-a| ground floor| hotel savoy suites| sector 16| noida,sector 16,sector 16| noida,north indian| chinese| mediterranean,indian rupees(rs.),False,False,False,False,3,1670,1600,4.3,today's exclusive dishes,barbeque in a box (veg) premium,1049.0,3
299,9561,barbeque nation,1,new delhi,101 & 102| 1st floor| agarwal corporate heights| netaji subhash place| new delhi,netaji subhash place,netaji subhash place| new delhi,north indian| chinese,indian rupees(rs.),False,False,False,False,3,937,1600,4.1,today's exclusive dishes,barbeque in a box (veg) premium,1049.0,3
